owncloud_issue_id,owncloud_issue_text,owncloud_issue_body,owncloud_create_time,distance,nextcloud_review_id,nextcloud_review_text,nextcloud_create_time,bug 1,bug 2,Ô­150Ìõ,,,
123514311,Automatic upload works only sometime,"What I'm doing :
-Check automatic picture upload
-Check only wifi

What is happening :
-Nothing most of the time
-If I'm on wifi + owncloud in the background + I take a picture : It uploads it

What I'm expecting to happen :
-Should upload all the pictures that has been taken when I didn't had wifi
-The app shouldn't have to be launched to upload pictures

 Some suggestion :
-Maybe a way to disable the owncloud notification / icon on each upload.
-Are the weird kind of ""loading"" dots on the top of the app made on purpose ? They look weird.
-Users should be able to chose the folder name for auto upload, if you have more than one device it is a mess.

Thanks for reading :)
",2015/12/22 16:35,0.9298,gp:AOqpTOHHFT6avpY5taGI0_nKSGRRvdpTQyUueO_peEA80fli8ae7LiI5OI_7lINSE9rn_uzIxFTeIm4Orf-fySA,"Automatic upload is unpredictable, sometimes it work and sometimes it doesn__.",2021/11/18 4:53,,,,,,
7991808,Files like File_conflict_TIMESTAMP.txt  when editing files on the Android device (Jota Text Editor),"While testing the behaviour of down- and uploads with a single file File.txt for editing, I now noticed a spooky file File_conflict_20121030_084503.txt on the Android. 

I use
- server 4.5.1a
- Android 1.3.14
- Jota Text Editor (Android) with enabled setting to use abackup version when editing. This editor creates a backup file with filename File.txt~ . 

Perhaps this backup file (renaming, swapping names of current and backup version ???) is causing the reported issue. In previous tests I disabled the backup file creation in the Jota Text Editor settings and everything (editing on the server, editing in Windows client and editing on the Android device) appeared to work fine, at least I did not notice problems when synchronising the Android client manually - for this see https://github.com/bartoszprzybylski/owncloud-android/issues/43 )

The Delete button however only offers to the delete this particular file on the server(!).

The Windows client does not show such a file in the file list.

Questions:
- Please can you explain why the Android client offers ""delete on the server"" ?
- Should the text become ""delete locally"" because there is no File_conflict_TIMESTAMP.txt on the server but a conflicting backup file File.txt~ locally ? [UPDATE] I think I was wrong. The file is indeed on the server.
- This exact local file name (File.txt~) should be listed locally in the Android client, or File.txt~___conflict_TIMESTAMP [UPDATE]
  I think I was wrong. The file is indeed on the server.
",2012/10/31 7:58,0.912,gp:AOqpTOFFLylCF-LJGsSnmeTfdACPWTgCSrnTsZ2peVT4VzcSALl5lpleIOdgdq7xLZbux2D2X2nQogE1rM6g41I,"Downloading files to local filesystem is very inconvenient. The ""download"" button caches files somewhere in ./Android/data/whatever, and then you have to use a third party file manager to copy those files to Documents/Downloads/etc... folder.",2021/10/19 0:03,,,,,,
19627895,instant upload: remember failed uploads and retry later,"If I have a weak network connection it happens quite often that my mobile phone loses the connection during an instant upload. The app informs me that the upload failed but it is quite hard to find out which files are uploaded and which not when I'm back on my desktop.

It would be a great improvement if the Android app would remember which instant uploads failed and try to upload them again later. Maybe after a given timespan or simply if a new instant upload gets triggered because the user took a new photo.
",2013/9/17 17:12,0.9263,gp:AOqpTOH0QKlrAeAGyJIoKhaaWGo7bHO5f5MCwb7M2qkxha9wbOJ-e1o6pJnzezaEjQK5_Yugl2z5hWnkcpxb_uA,"I haven't really had any issues with the app itself. Occasionlly it will fail to auto upload a pic, but it will retry on its own and usually succeed.",2021/10/13 9:03,,,,,,
29248713,Check server certificates in SAML SSO webview and allow the user trust or not in case of problems,,2014/3/12 9:40,0.9121,gp:AOqpTOHK0bMCdS1Ye5V8btgJMmKRXZ0injxQN3DaSRx70tGs4XgHAHMfpcxyleVH5Q69gl-5l-eT4LQg5DOPyec,not able connect to my nextcloud servers and complained connect error or server too long to respond where as browsers connects fine without issue,2021/10/2 6:46,,,,,,
457958741,Fix crash when notifying upload result,Implements #2560 ,2019/6/19 11:30,0.9106,gp:AOqpTOEjTU3PUlKLHCyN1XkKfAfE8p5WiC638dyHWBOaqAVbnaAvrM85Le3Vy-98U2kusaRam-3iWETtuRgiW4s,Mostly works as intended. Managing the auto upload feature can be problematic since it causes the app the crash alot of the time.,2021/10/2 2:51,,,,,,
8168516,"Android client recognizes epub files as directories, can't download/open them","Steps to reproduce:
- Download valid .epub file to ownCloud directory on GNU/Linux 
- Wait for client to sync to ownCloud (tested on 4.5.1 server default install, 1.1.1 client)
- Open OwnCloud Android client (tested 1.3.12)
- The .epub file then appears as a folder clickking on it ""opens"" an empty folder

Other files similarly sync'ed (ODT, PDF) open fine after downloading.
",2012/11/7 12:30,0.8971,gp:AOqpTOFblDBazkrVo1QaMGQgiyx9hMjxsgcvwXEU0ncSKjQJzpVt9T5veJLE_Tm9doxZTecMJmAiaJ2j9A0O9HA,Unlike the desktop version doesn't sync upload files created on Android when moved to local nextcloud folder,2021/9/8 9:39,,,,,,
452514711,[BUG] [New Arch] Small glitch when editing folder permissions in public links,"### Steps to reproduce
1. Create a public link over a folder, and set a password
2. Edit the public link, and change the permission


### Current behaviour
The password textview disappears

![Jun-05-2019 15-51-08](https://user-images.githubusercontent.com/14894746/58961703-00da3000-87aa-11e9-8f7f-682d36befb72.gif)


### Expected behaviour
The password textview does not disappear

Android 9

### PRs
- App: https://github.com/owncloud/android/pull/2606",2019/6/5 13:53,0.8915,gp:AOqpTOGhXZZ1IcEfcqnJIWNs393eqy7mzKtbTw5iDgLFlOz-Hq89YxCaullTweWtWMxYDUg3Sb2H4usyrpDH5Pg,Auto upload is glitch. Cannot detect files on folder even after saving newly it don't work. Always have to uninstall and install to make it work detect existing files. This is not what cloud means!,2021/9/6 17:28,,,,,,
40256695,Don't instantly save a second copy of an image to instantUpload on the phone,"After recently getting the ownCloud app on Android and enabling instant photo upload, I noticed that after taking a picture the app is automatically saving a copy of the picture in the owncloud folder on the phones memory, even though I haven't gone to view/download the photo in the app. 
Since I take a lot of photos this is just wasting space on the phone. Its also not likely I'm going to use the ownCloud app to view the photo if I can view it from the Android photo app anyway, so there isn't really any reason for them to be there. It would be nice to have the option to disable this if not have it removed as it probably doesn't make sense for a lot of people to do this.
",2014/8/14 14:01,0.8994,gp:AOqpTOGLbA5QCmFSajHvoXsqg6qDTjE6FqCx4-ajMUSax6oUJYYRYYtyUsfOzGCQQNRKePg9QLqTgYqnkjHOkSU,"Automatic sync appears to be not very reliable, photo uploading very slow with lots of false ""upload failed"" and ""upload conflicts""notifications.",2021/8/22 12:10,,,,,,
36382803,app crashes after log in if the server version is < 4.5,"Hi guys,

I have set up my own owncloud when I go to log in using the app. i can put my server name user name and password click log in it logs me in starts to load then crashes. I do currently not have any files on the server.  

I do only have server version 4.04 and am trying to connect with adrioid app version 1.5.7. Would that even matter?
",2014/6/24 13:22,0.8903,gp:AOqpTOHxLlbgPY3DENQuuP8l3UT9V8DvxyOcE5WnpQQdQqFcU2pum4JScd_wXS1qAYkheIPCctfuVzaTc3ye7pk,open source my own cloud great app and server needs work,2021/7/15 19:51,,,,,,
20324711,Fix fails in uploads after fall and rise of network connection,,2013/10/1 11:12,0.9115,gp:AOqpTOF56R701oEJ-nw0Oelzp3Wvkf4bposHIrif0rB9LVVkYj4uArnU-58laqbxW_fhh_8K66hLB7tC2y4zv-c,"Good app, error messages could be improved. Instant upload still temperamental with a TLSv1.3 only server.",2021/7/9 14:12,,,,,,
27428548,"Delete already synced folder from server, still exists on client","### Steps to reproduce
1. Web: login to ownCloud server
2. Web: Create a folder ""to delete"" on the server
3. Web: Create a text file ""test.txt"" inside and write some contents in it
4. Android Client: Refresh the account to trigger sync
5. Android Client: navigate into ""to delete"" and download the ""test.txt""
6. Android File Manager: navigate to the account's folder, see that ""to delete"" exists
7. Web: Delete folder ""to delete""
8. Android Client: refresh the account and see that ""to delete"" disappeared from the ownCloud app
9. Android File Manager: Using a file manager, navigate to the account's folder
### Expected result

""to delete"" folder is gone from the mobile device's filesystem
### Actual result

""to delete"" folder still exists and so does ""test.txt"".
If that file was huge it would waste the mobile device's space without the user knowing.
### Versions

Android app: 1.5.3
OC server: 6.0.1
File Manager: Ghost Commander
",2014/2/12 12:06,0.8916,gp:AOqpTOGND_Y0MscsuU5BZwK-0lzrMDLP1lgSMN7G9js18MDaMJGyed-a1jk6u3AeVUGchcXNkXnR9TeZlximKkY,Work well with my server. Any issues I had with uploading large files were resolved by correct configuration in my reverse proxy.,2021/6/19 19:25,,,,,,
42624273,Develop version: Cannot create new connection to server,"I just re-installed the app.

After entering the URL it said:
""Cannot authenticate against this server""
but did not ask for a password.

I tracked the problem here:

line 257 in AuthentivatorActivity.java:
boolean samlWebSsoSupported = AUTH_ON.equals(getString(R.string.auth_method_saml_web_sso));
returns true

When setting it to false, it works alright.
",2014/9/12 12:33,0.8952,gp:AOqpTOFf27-Cf1l7ZumxtuXuCNo4uEBMRexTcV_QMZmHDs6A81ptHhsvNIrtj7AUr0Bv71PpDDkfkOPxgfUFVj4,This version doesn't allow uploads from Android if server is using TLS 1.3 exclusively; need 1.2 in addition to 1.3. otherwise connection error. Works fine on desktop.,2021/6/6 15:32,,,,,,
23182678,Error message when uploading files to OC 6.0,"OC Version: 6.0 beta5
Android App Version: 1.5.0
Android Version: 4.0.3

When uploading a file via my Android Phone I get an error message that the upload was unsuccessul. Checking via the webfronend the file was upload successfully though!

Looking through the log file while uploading the file, I noticed the following entries, which might be related

{""app"":""PHP"",""message"":""Undefined variable: output at \/www\/htdocs\/w00d7ed1\/owncloud6\/lib\/private\/preview\/movies.php#12"",""level"":2,""time"":""2013-11-23T06:14:07+00:00""}
{""app"":""PHP"",""message"":""Undefined variable: returnCode at \/www\/htdocs\/w00d7ed1\/owncloud6\/lib\/private\/preview\/movies.php#12"",""level"":2,""time"":""2013-11-23T06:14:07+00:00""}
{""app"":""PHP"",""message"":""RecursiveDirectoryIterator::__construct(\/www\/htdocs\/w00d7ed1\/owncloud6\/data\/test\/thumbnails\/113\/) [<a href='recursivedirectoryiterator.--construct'>recursivedirectoryiterator.--construct<\/a>]: failed to open dir: No such file or directory at \/www\/htdocs\/w00d7ed1\/owncloud6\/lib\/private\/files\/storage\/local.php#44"",""level"":3,""time"":""2013-11-23T06:14:12+00:00""}

I don't get such an error message on my Android Phone when uploading to OC 5
",2013/11/23 6:18,0.9188,gp:AOqpTOGTR_VeVeKJEXtYHwFD0mSxyhXpJXOtx_RZmq9GgxEQ8_hAJdZVL50xwWSEusnKjhStQgsop1bzDN5a8yo,"Can't solve file conflicts, doesn't respond to user input when uploading.",2021/6/5 18:22,,,,,,
10191111,Cannot download a folder in Android client,"Using the Android client 1.3.18 I am trying to download a folder that was synced from my desktop to the oC server. I have to open the folder and then long tap each file within the folder and choose download.

Is there no way to download the complete folder in it's entirety?
",2013/1/22 13:03,0.9013,gp:AOqpTOGO_eOhjc8FBT4xBqLiQY01BLTm9DGaVqjBDFvjszcWVDNfxwA86HuGkf9ngg-iRIT0iExw8PIGFCCcV80,"It's ok, but give possibility to manually choose download folder on device, you can't access files from Android directory.",2021/6/1 8:51,,,,,,
108810652,As an OC user I want to SHARE VIA LINK with password protection and expiration time using the new interface so that I can secure my shared files,"AC:
- New interface -> https://github.com/owncloud/ios/issues/425
- Keep the current options of Share link (apps to share and unshare)
- The interface should be updated with the server data
- Possibilities of enable/disable password protection.
- Possibilities of enable/disable and change the expiration time

NOTE:
This is related to: https://github.com/owncloud/ios/issues/425
This is the first step to be able to share with users since we are developing the new view
",2015/9/29 7:30,0.9079,gp:AOqpTOGEr9977xTSN0cKPucA5YkJoJpuKMxybSi9vHKq0zHNNgIKRgIIqLTeDGJyH7Z2a_fQSIwI3fyZceBcVJw,Doesn't save the server address or even login. The server address not being saved add an extra useless step to the login procedure. I would rather have the server/login saved and use biometric to unlock the app.,2021/5/18 10:13,,,,,,
127242572,"Bad wording ""delete account"" in Android app (scares user)","In the settings you__l have to long press the username and then chose __elete account_ to remove a local account from the app. This is kind of a bad wording. It does remove the account from the ownCloud app but for the user this is just a __ogout_ on this device, so that he has to type in the username/password again the next time he starts the app. This doesn't really delete the account on the server side. (which is good)

Please consider to rename this action to ""logout"" because __elete account_ sound pretty destructive.

cc @rperezb @jancborchardt @MTRichards @michaelstingl 

00004565
",2016/1/18 14:53,0.8906,gp:AOqpTOFQ7ftaxJB_xkyo0j-K_jUXbPw1OGD-X4u8rRMuzZe4lQf9qm8piGTyX3YowRIL2VpoHNAju-8DtuiiI3I,"Stupid app. When I try to sign up, ""Error: Something happened."" Don't download.",2021/5/10 14:53,,,,,,
786333148,Android app : unable to connect to my server,"When I'm trying to login to my owncloud server (https://cloud.vadhe.net) from the official owncloud android app, I get a strange error message : ""the device is not connected"" with a small wifi icon with an interogation mark. To be specific, I'm using the french version, and the message is ""l'appareil n'est connectÃ© _ aucun rÃ©seau""

When entering the server url, secured connection seems ok.

I'm using the unofficial android app ocloud for years. I wanted to switch only because I have issues with upload ""large"" files (like, greater than 3Mo...)

Likewise, I'm using windows client apps without issues.

The server logs are surprisingly small when trying to connect with the app :

`cloud.vadhe.net:443 192.168.0.254 - - [14/Jan/2021:21:50:13 +0100] ""GET /status.php HTTP/1.1"" 200 1340 ""-"" ""Mozilla/5.0 (Android) ownCloud-android/2.15.3""
cloud.vadhe.net:443 192.168.0.254 - - [14/Jan/2021:21:50:13 +0100] ""PROPFIND /remote.php/dav/files/ HTTP/1.1"" 401 1276 ""-"" ""Mozilla/5.0 (Android) ownCloud-android/2.15.3""
cloud.vadhe.net:443 192.168.0.254 - Vinny [14/Jan/2021:21:50:19 +0100] ""PROPFIND /remote.php/dav/files/ HTTP/1.1"" 207 1916 ""-"" ""Mozilla/5.0 (Android) ownCloud-android/2.15.3""
cloud.vadhe.net:443 192.168.0.254 - - [14/Jan/2021:21:50:19 +0100] ""GET /ocs/v2.php/cloud/user?format=json HTTP/1.1"" 403 
457 ""-"" ""Mozilla/5.0 (Android) ownCloud-android/2.15.3""`

Shouldn't there be a login request, like with a regular browser ?
`cloud.vadhe.net:443 192.168.0.254 - - [14/Jan/2021:21:54:58 +0100] ""POST /index.php/login HTTP/1.1"" 303 1014 ""-"" ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:84.0) Gecko/20100101 Firefox/84.0""
`

When having this issue earlier tonight, I upgraded the server from 10.2.0 to the latest 10.6.0. Behaviour remains the same.

I tried the demo.owncloud.org server. No problem.",2021/1/14 20:52,0.8987,gp:AOqpTOG9wKJPgGy6fkP3vBt3x19rl_7X1KTUImt6mnJ_sqGmWGv1h78TFBTIo-pvuDLwon7_SfgHlW1pg4Be2PU,"Awesome app, I use it with my personal cloud server and it just works great",2021/5/2 19:16,,,,,,
15609290,upload files directly from filesystem,"I expect the Android client to behave the same way as the other desktop clients, that is, when I move or copy a file into my Owncloud account directory ( `/storage/sdcard0/Owncloud/account@server/` ) from a file manager, the app should pick that new file and upload it to the server.

The problem is that relying only on using ""share"" actions is that you end up with duplicate files (one in your Owncloud synced files, one in, say, your ""downloads"" directory). Also, as I said, it's inconsistent with other clients and counter intuitive (why does that file display in my sync directory but not in the Owncloud app?)
",2013/6/16 19:19,0.9173,gp:AOqpTOEKBBvu0ZjKoao_vjH894sm8J719SQgMIJYq5xFYWXepfaNIZpYYRD1aB_gl6NT93qnBahZjU_cNgignr8,Access files on the go. Sometimes some files don't appear in the app.,2021/4/21 13:44,,,,,,
50046747,Update Description AppStore: Highlight Issue System on Github,"I have read the description of this app in the offical android app store.
There is only the forum at forum.owncloud.org mentioned.

I think there should be a link to the issue tracker system of GitHub as on Github the developer are reading it. And the text should encourage people to report issues and not just downvote it.
",2014/11/25 16:05,0.8938,gp:AOqpTOEyXaSus9bXXXYSGTochYUtNOwczrTUzWhGPcVKV-MiCp72_piRnBehl9s1paSiKoxZOqTnYE90dfQAO-s,Next is a fantastic open source product. Only issue with the app is the loading after every user input when trying to browse library.,2021/4/14 9:30,,,,,,
8061694,Suggestion: Android Client: add a menu point for displaying server certificate information,"I suggest to add a menu point and function in the client to display server certificate information (md5-, sha1- fingerprints, issue- and valid-until dates) like in modern browsers.
",2012/11/2 15:27,0.8909,gp:AOqpTOEqx42P4pq14xJV7jm8voaVxx-2RFTDCFohz1zKVlbQNR9d1wY8o8l4vHkN89faUntGZfEGzLRzZ0wwXec,Android App does not connect nor accepts a non-default port at the first screen when trying to setup the connection to the server.,2021/3/19 2:14,,,,,,
109412862,fix #1024 show cert fingerprints when adding new account w/ untrusted certificate,"- show SHA-256, SHA-1 and MD5 certificate fingerprint
  instead of signature hex dump
  when certificate is untrusted
- show error string if one of the digest algorithms is not available
- added check and error msg for certificate load problems

@AndyScherzinger @davivel pls. can you review my improved PR (I tested the code).

output example for an ""untrusted"" certificate:

<img src=""http://i.imgur.com/lJsCGiU.png"">

output example for ""null"" certificate as suggested by @AndyScherzinger previously in https://github.com/owncloud/android/pull/1134#issuecomment-142615727 :

> Only thing but that is rather an optimization is that if your cert byte-Array is null you can quite passing it on to further methods and return since then you won't be able to print any.

<img src=""https://i.imgur.com/skOGkNb.png"">

(tested by changing the null test temporarily).

Let me know, if you want me to add/change/improve further. I am willing to learn, and to do so.
",2015/10/2 0:56,0.9046,gp:AOqpTOEnq7S1XCP53cyky9_dNw1GgVKXSjI_KS-nMdF4lgdw1cH_8ieuEwqgtXxd0ezK8yI3vZ3TCCFrY8RPbrE,Mostly good but does this app not trust LetsEncrypt certs? Every time my server's cert renews I need to manually verify and trust the new certificate.,2021/3/14 19:35,,,,,,
14005914,[Bug] Every picture twice on phone (DCIM and InstantUpload),"Heyho,
on my phone I now have every picture twice, once in my phone's camera/DCIM folder and once in the InstantUpload folder. This issue could maybe resolved by fixing https://github.com/owncloud/android/pull/116, if also a folder on the phone could be synced. Then I would just point the sync to my camera folder (which would then also fix https://github.com/owncloud/android/pull/149). ;-)
",2013/5/6 15:24,0.8984,gp:AOqpTOHK-A_gEqmzapUkXKwfuvD_Y28vh8v4IpnnCShujZ55uNt-Jvr90PX5zXue-w6VsVRL6-GeHvwG31BCcbM,"For syncing files there are really better alternatives - foldersync has not let me down even once, nextcloud has many times (not syncing ctime/mtime, photo sync stopping even on iPhone)",2021/3/11 14:33,,,,,,
